Time,Temperature,HA19,HA19,HA19,HB09,HB09,HB09,HA19,HA19,HA19,HB09,HB09,HB09,HA14,HA14,HA14,BLNK,BLNK,BLNK,HA14,HA14,HA14,BLNK,BLNK,BLNK,HA57,HA57,HA57,HD25,HD25,HD25,HA57,HA57,HA57,HD25,HD25,HD25,HA20,HA20,HA20,NA,NA,NA,HA20,HA20,HA20,NA,NA,NA,HA33,HA33,HA33,NA,NA,NA,HA33,HA33,HA33,NA,NA,NA,HB15,HB15,HB15,NA,NA,NA,HB15,HB15,HB15,NA,NA,NA,HA54,HA54,HA54,NA,NA,NA,HA54,HA54,HA54,NA,NA,NA,HA36,HA36,HA36,NA,NA,NA,HA36,HA36,HA36,NA,NA,NA
0:00:00,23.5,0.1093,0.1114,0.1122,0.0983,0.0974,0.1006,0.092,0.0931,0.0915,0.0968,0.0936,0.0983,0.1323,0.1321,0.1334,0.0874,0.0882,0.089,0.0899,0.1054,0.0966,0.0936,0.0911,0.0947,0.1031,0.1,0.1027,0.0903,0.0902,0.092,0.0883,0.0905,0.0942,0.0924,0.0942,0.1016,0.0955,0.0972,0.0965,0.0764,0.0741,0.0757,0.0905,0.0911,0.0935,0.0811,0.0813,0.0814,0.1106,0.1144,0.1139,0.0736,0.0712,0.0718,0.0884,0.0918,0.0921,0.0794,0.0833,0.0796,0.1313,0.132,0.1317,0.0723,0.0731,0.0759,0.0938,0.104,0.097,0.0817,0.0786,0.0806,0.1467,0.1504,0.15,0.0741,0.076,0.0802,0.0969,0.0947,0.1027,0.0805,0.0818,0.0822,0.137,0.1377,0.1376,0.0725,0.0774,0.0791,0.0963,0.0955,0.0978,0.0803,0.0795,0.0811
2:30:00,26,0.1077,0.107,0.1084,0.0946,0.0938,0.0973,0.0914,0.0915,0.0907,0.0975,0.0916,0.1091,0.1294,0.13,0.1309,0.0832,0.0836,0.0846,0.0903,0.136,0.0983,0.096,0.0894,0.093,0.1008,0.0974,0.0985,0.0975,0.0979,0.0993,0.0898,0.0898,0.1014,0.0937,0.0909,0.1319,0.0905,0.0909,0.0924,0.0723,0.0714,0.0725,0.0876,0.0882,0.0922,0.0775,0.0795,0.0776,0.1098,0.1105,0.112,0.0706,0.07,0.0712,0.0878,0.0919,0.0908,0.0776,0.0798,0.0777,0.1244,0.1248,0.1252,0.0703,0.0709,0.0721,0.0967,0.1429,0.1028,0.0789,0.0768,0.0786,0.1451,0.1482,0.1485,0.0703,0.0715,0.0776,0.0971,0.0961,0.1017,0.0786,0.0792,0.0797,0.1362,0.1342,0.1361,0.072,0.0712,0.0778,0.0922,0.0923,0.0944,0.0777,0.0773,0.079
5:00:02,26.5,0.1087,0.106,0.1073,0.0952,0.0949,0.0967,0.094,0.0953,0.0937,0.1009,0.0945,0.1147,0.1342,0.1345,0.1348,0.0829,0.0833,0.0844,0.0983,0.1333,0.1062,0.0974,0.0894,0.0928,0.0996,0.0966,0.098,0.0988,0.0987,0.1002,0.0924,0.0917,0.1044,0.0946,0.0907,0.1405,0.0907,0.0919,0.0927,0.0717,0.0713,0.0724,0.0873,0.0882,0.0921,0.0774,0.0795,0.0769,0.1116,0.1123,0.1138,0.0701,0.0699,0.071,0.0904,0.0952,0.0938,0.0776,0.0785,0.0777,0.1264,0.1269,0.1285,0.0699,0.0709,0.0718,0.1117,0.1137,0.1186,0.0785,0.0766,0.0782,0.1483,0.1514,0.1531,0.0699,0.0706,0.0775,0.1063,0.1067,0.1114,0.0783,0.0784,0.0784,0.1365,0.1348,0.1354,0.0714,0.0707,0.0777,0.0967,0.0975,0.0996,0.0777,0.0766,0.0784
7:30:04,26.5,0.1088,0.1058,0.1071,0.0944,0.0942,0.096,0.0988,0.0992,0.0991,0.1081,0.1027,0.1187,0.1391,0.1402,0.1392,0.083,0.0836,0.0843,0.1104,0.1204,0.1173,0.0983,0.0899,0.093,0.0993,0.0965,0.0974,0.0998,0.0988,0.1022,0.0963,0.0952,0.1067,0.0958,0.0911,0.1445,0.0911,0.0932,0.0925,0.0717,0.0712,0.0724,0.0876,0.0881,0.0921,0.0774,0.0796,0.0769,0.1145,0.1155,0.1162,0.07,0.0702,0.0712,0.0944,0.0988,0.0983,0.0776,0.0782,0.0775,0.1277,0.1306,0.1317,0.0701,0.0709,0.072,0.1165,0.1215,0.1245,0.0786,0.0766,0.0783,0.1517,0.1547,0.1576,0.0698,0.0707,0.0775,0.1175,0.1162,0.1232,0.0787,0.0782,0.078,0.1388,0.1362,0.1363,0.072,0.0707,0.0781,0.1017,0.1035,0.1052,0.0776,0.0767,0.0785
10:00:06,26.5,0.1081,0.1057,0.107,0.0944,0.0938,0.0975,0.1036,0.1043,0.1036,0.1104,0.1077,0.1139,0.143,0.1434,0.1432,0.0838,0.0835,0.0848,0.1212,0.1257,0.127,0.0989,0.0904,0.0932,0.0994,0.0967,0.0984,0.1012,0.1,0.1037,0.0985,0.0976,0.1081,0.0955,0.0916,0.1468,0.0908,0.0931,0.0922,0.0716,0.0711,0.0723,0.0882,0.0887,0.0921,0.0774,0.0795,0.077,0.1171,0.1182,0.1189,0.07,0.0701,0.071,0.1003,0.1033,0.1042,0.0775,0.0783,0.0777,0.1302,0.1348,0.1357,0.0699,0.0707,0.0717,0.1188,0.1226,0.1262,0.0787,0.0767,0.0782,0.1532,0.156,0.159,0.0698,0.0709,0.0779,0.124,0.1222,0.1296,0.0784,0.0784,0.0782,0.1396,0.1379,0.1367,0.0722,0.0707,0.0782,0.1068,0.1095,0.1103,0.0777,0.0768,0.0782
12:30:08,26.5,0.1082,0.1061,0.1076,0.0938,0.0941,0.096,0.113,0.1132,0.1122,0.1128,0.1128,0.1155,0.1465,0.1472,0.1456,0.0841,0.0834,0.0848,0.1234,0.1279,0.1292,0.0992,0.0907,0.0933,0.0997,0.0976,0.0988,0.1024,0.1008,0.1042,0.0993,0.0983,0.1072,0.0959,0.0919,0.149,0.0897,0.0928,0.0928,0.0717,0.071,0.0722,0.0888,0.0894,0.0926,0.0774,0.0796,0.0768,0.1182,0.1196,0.1214,0.0702,0.0701,0.0711,0.1034,0.1066,0.1073,0.0774,0.0782,0.0775,0.1323,0.1397,0.141,0.0699,0.0709,0.0718,0.12,0.1232,0.1269,0.0785,0.0767,0.0781,0.1557,0.1572,0.1613,0.0698,0.0708,0.0777,0.1216,0.121,0.1271,0.0786,0.0783,0.0781,0.1404,0.1393,0.1382,0.0719,0.0706,0.0784,0.1087,0.1108,0.1124,0.0778,0.0766,0.0783
15:00:10,26.5,0.1099,0.1066,0.1085,0.0942,0.0937,0.097,0.1153,0.1151,0.1133,0.1166,0.1162,0.1188,0.151,0.1514,0.1494,0.084,0.0835,0.085,0.1217,0.1266,0.1274,0.0993,0.091,0.0936,0.0998,0.0981,0.0991,0.103,0.1016,0.1064,0.1,0.0987,0.1056,0.1016,0.0922,0.1439,0.0897,0.0925,0.0935,0.0715,0.0711,0.072,0.0892,0.0901,0.0933,0.0775,0.0795,0.0768,0.1186,0.1203,0.1217,0.0699,0.0701,0.0712,0.1058,0.1086,0.1096,0.0775,0.078,0.0775,0.1318,0.1417,0.1444,0.0698,0.0707,0.0716,0.121,0.1239,0.1277,0.0785,0.0764,0.078,0.156,0.1591,0.1629,0.0697,0.0707,0.0775,0.1212,0.1207,0.1261,0.0783,0.0782,0.0777,0.1415,0.142,0.1404,0.0716,0.0706,0.0782,0.1127,0.1126,0.115,0.0775,0.0763,0.0783
17:30:11,26.5,0.1099,0.1068,0.109,0.0942,0.0941,0.0967,0.1167,0.1169,0.1144,0.1188,0.1178,0.1201,0.1546,0.1556,0.1542,0.0837,0.0837,0.085,0.1219,0.1271,0.128,0.0992,0.0911,0.0936,0.0996,0.0979,0.0987,0.1027,0.1037,0.1079,0.1041,0.0983,0.1042,0.1034,0.0922,0.1419,0.0891,0.0926,0.0945,0.0714,0.0711,0.0722,0.0896,0.0911,0.0939,0.0772,0.0794,0.0768,0.1192,0.1211,0.1229,0.0698,0.07,0.0711,0.1072,0.1125,0.1116,0.0775,0.0779,0.0775,0.1341,0.1437,0.1491,0.0699,0.0707,0.0715,0.121,0.1244,0.13,0.0785,0.0764,0.0779,0.158,0.161,0.1646,0.0695,0.0706,0.0772,0.1201,0.1215,0.1257,0.0782,0.078,0.0776,0.1415,0.1421,0.14,0.0716,0.0705,0.078,0.1168,0.1145,0.1188,0.0773,0.0764,0.078
20:00:12,26.5,0.1095,0.1078,0.1107,0.0951,0.0949,0.0976,0.1176,0.1185,0.1157,0.1225,0.1208,0.1224,0.1604,0.1606,0.1594,0.0837,0.0844,0.0852,0.1236,0.1288,0.1304,0.0997,0.0913,0.0939,0.1002,0.0981,0.0998,0.1037,0.1066,0.1096,0.1111,0.0982,0.1032,0.1061,0.0927,0.1403,0.0886,0.093,0.0954,0.0716,0.0712,0.0723,0.0908,0.0926,0.0952,0.0773,0.0795,0.0769,0.119,0.1216,0.1244,0.0701,0.0701,0.0712,0.108,0.1125,0.115,0.0775,0.0781,0.0775,0.1358,0.1478,0.1553,0.0701,0.071,0.0718,0.1176,0.1265,0.1311,0.0786,0.0765,0.0783,0.1588,0.1623,0.1658,0.0697,0.0708,0.0776,0.1206,0.1232,0.1261,0.0785,0.0783,0.0778,0.1419,0.1424,0.1416,0.0715,0.0708,0.0783,0.1194,0.1195,0.1251,0.0778,0.0768,0.0783
22:30:13,26.5,0.1092,0.1096,0.1124,0.0951,0.0952,0.0968,0.1185,0.1192,0.1169,0.1258,0.1239,0.1255,0.1639,0.1637,0.163,0.0841,0.0848,0.0851,0.1255,0.1307,0.1332,0.0996,0.0916,0.094,0.1003,0.0979,0.1002,0.1044,0.1082,0.1107,0.116,0.0976,0.1019,0.1011,0.0936,0.1338,0.088,0.0928,0.0952,0.0715,0.0712,0.0721,0.0923,0.0946,0.097,0.0773,0.0795,0.0769,0.1191,0.1222,0.1244,0.0699,0.07,0.0711,0.1082,0.1124,0.116,0.0774,0.078,0.0773,0.1348,0.1484,0.1571,0.0698,0.0706,0.0716,0.1154,0.1279,0.1287,0.0784,0.0765,0.0782,0.1561,0.1624,0.1654,0.0697,0.0708,0.0774,0.1202,0.1236,0.126,0.0783,0.0782,0.0777,0.1382,0.1417,0.1413,0.0716,0.0707,0.0782,0.1196,0.123,0.1297,0.0776,0.0766,0.0781
